recon_type,samp_rat,metric,pearson_r,pearson_p,spearman_r,spearman_p
CGI,30,mean,-0.03571106154827517,0.9122665714364293,0.32924744011902274,0.29600741162831595
CGI,30,var,0.6113719572674956,0.034664870569081324,0.756568585805414,0.00439849276122553
CGI,30,std,0.5815719397686381,0.04730985995979146,0.756568585805414,0.00439849276122553
CGI,30,contrast,0.4359708488018646,0.15654634113431704,0.6725054096048124,0.016569290713166714
CGI,30,entropy,-0.5447297634624774,0.06704721307361552,-0.4515166741884003,0.14063176954786535
CGI,30,autocorrelation width,0.5470602549987925,0.0656543932890517,0.28072789026629646,0.3767808388199453
CGI,30,effective_rank,0.3471017319358489,0.26897677042062973,0.6619882462917587,0.01902172688238506
CGI,30,cond_number,-0.057826334841878956,0.8583255753192152,-0.37762237762237766,0.22620604493502663
CGI,30,mutual coherence,0.11833056164993738,0.714164461060478,-0.18881118881118883,0.5567370561768314
CGI,60,mean,-0.03796230936451461,0.9067564101571643,0.12959739664259406,0.6881039438604584
CGI,60,var,0.7003345624787474,0.011201728017946583,0.8021028062474066,0.0016965328946357122
CGI,60,std,0.6733141648420764,0.016390856281674224,0.8021028062474066,0.0016965328946357122
CGI,60,contrast,0.5114537460615183,0.08920636831736431,0.7320501594135719,0.006792930007505305
CGI,60,entropy,-0.6257647228273161,0.029517706950070794,-0.4550441482054972,0.13717220150884346
CGI,60,autocorrelation width,0.3061385065812974,0.3331633910761248,0.35870785978471215,0.25219930539966046
CGI,60,effective_rank,0.4761880097531654,0.11759124519120301,0.7817095248764386,0.0026700659830202586
CGI,60,cond_number,-0.15958107163534477,0.6203137257362689,-0.5454545454545455,0.06661188226688902
CGI,60,mutual coherence,-0.07562683377112907,0.8152990796577705,-0.39860139860139865,0.19933549461780897
CGI,90,mean,-0.051096772890974425,0.8746907516675111,0.3607711311942483,0.2492825059623801
CGI,90,var,0.780329824676694,0.002748623272374475,0.80910807093079,0.00143474036993647
CGI,90,std,0.7506856121343195,0.004903035652740995,0.80910807093079,0.00143474036993647
CGI,90,contrast,0.5658248484773812,0.05516147120014982,0.6900185713132712,0.01301224318408305
CGI,90,entropy,-0.6842626254997707,0.014111904395442779,-0.39154961589775344,0.20813779071421684
CGI,90,autocorrelation width,0.2198011938823048,0.49244657670518094,0.30412188112182115,0.3365204169806735
CGI,90,effective_rank,0.6027680372594292,0.03803184128382877,0.7530659534637223,0.004693893048673786
CGI,90,cond_number,-0.19232194926335505,0.54928562606262,-0.6503496503496504,0.022034190932365288
CGI,90,mutual coherence,-0.36728263499499003,0.2402078944182499,-0.5034965034965035,0.09515736659412469
DGI,30,mean,-0.08446845020610115,0.7940932970174666,-0.007005264683383462,0.9827616094034646
DGI,30,var,0.3538708338770964,0.25911523702850947,0.2451842639184212,0.4424376657583864
DGI,30,std,0.3236309103827327,0.30481432720187684,0.2451842639184212,0.4424376657583864
DGI,30,contrast,0.25916051899899756,0.41599312780579245,0.23117373455165427,0.4697325571728438
DGI,30,entropy,-0.2984127044528519,0.3461228731190092,-0.289252869401944,0.36183103212447787
DGI,30,autocorrelation width,0.560622063182514,0.057944183004711464,0.4990718049178603,0.09857914896654058
DGI,30,effective_rank,0.20892871156497683,0.5146130619688687,0.19718798825711964,0.5390267201932186
DGI,30,cond_number,-0.09138079404815036,0.7776026603473496,0.16083916083916086,0.6175234895401425
DGI,30,mutual coherence,0.23382281651149145,0.4645127075162236,0.14685314685314685,0.6487957097846664
DGI,60,mean,-0.08579879896488034,0.790913280365166,0.11908949961751887,0.7123998368899922
DGI,60,var,0.47580935749451647,0.11792468277392534,0.2031526758181204,0.5265630529109769
DGI,60,std,0.45069517523030717,0.14144545827614158,0.2031526758181204,0.5265630529109769
DGI,60,contrast,0.3150183795520127,0.3185989335838444,0.1751316170845866,0.5861577321261826
DGI,60,entropy,-0.3510626935471047,0.2631803616176447,0.15520885675226262,0.6300461768813828
DGI,60,autocorrelation width,0.21313113019063964,0.5059940080764918,0.20274792074788076,0.5274048844928632
DGI,60,effective_rank,0.44292457886467207,0.14929246251832637,0.3802911202101593,0.22267342233449083
DGI,60,cond_number,-0.2674933279582799,0.40060987294674627,-0.16783216783216784,0.602099427786538
DGI,60,mutual coherence,0.10565174243193498,0.7438286256156565,-0.11188811188811189,0.729194990751066
DGI,90,mean,-0.15405542035438063,0.6326228039620468,-0.024518426391842117,0.9397100223231515
DGI,90,var,0.6295367235705744,0.028265347115811797,0.4238185133446995,0.16975340732567462
