matrix_id,recon_type,pattern_type,parameter_value,samp_rat,arr_size,seed,M,N_pixels,mean,var,std,contrast,entropy,autocorrelation width,effective_rank,cond_number,mutual coherence
CGI_hadamard_random_size32_M102_seed48,CGI,Hadamard,random,10,32,48,102,1024,0.5,0.25,0.5,0.999999999998,1.0,3.656862745098039,102,10.148891565092235,0.810470693546681
CGI_hadamard_random_size32_M204_seed48,CGI,Hadamard,random,20,32,48,204,1024,0.5,0.25,0.5,0.999999999998,1.0,3.6372549019607843,204,14.317821063276384,0.7733299526633324
CGI_hadamard_random_size32_M307_seed48,CGI,Hadamard,random,30,32,48,307,1024,0.501628664495114,0.24999734745196212,0.4999973474449261,0.9967479588654955,0.996742671009772,3.993485342019544,307,155.49356886585463,0.7550050154071176
CGI_hadamard_random_size32_M409_seed48,CGI,Hadamard,random,40,32,48,409,1024,0.5012224938875306,0.24999850550869518,0.4999985055064617,0.9975579939109016,0.9975550122249389,3.6161369193154034,409,206.49515727142094,0.7515265637614694
CGI_hadamard_random_size32_M512_seed48,CGI,Hadamard,random,50,32,48,512,1024,0.5009765625,0.2499990463256836,0.4999990463247741,0.9980487786267966,0.998046875,3.59375,512,257.99612397277605,0.7486967844194342
CGI_hadamard_random_size32_M614_seed48,CGI,Hadamard,random,60,32,48,614,1024,0.500814332247557,0.24999933686299072,0.499999336862551,0.9983726596194905,0.998371335504886,3.734527687296417,614,308.99676372018394,0.7408508182174175
CGI_hadamard_random_size32_M716_seed48,CGI,Hadamard,random,70,32,48,716,1024,0.5006983240223464,0.2499995123435596,0.4999995123433218,0.9986043259054489,0.9986033519553073,3.7304469273743015,716,359.99722220080287,0.7351889507440172
CGI_hadamard_random_size32_M819_seed48,CGI,Hadamard,random,80,32,48,819,1024,0.5006105006105006,0.24999962728900513,0.4999996272888662,0.9987797432896669,0.9987789987789988,3.6923076923076925,819,411.49756985200935,0.7229028445016121
CGI_hadamard_random_size32_M921_seed48,CGI,Hadamard,random,90,32,48,921,1024,0.500542888165038,0.24999970527244023,0.4999997052723534,0.9989148124835521,0.998914223669924,3.7133550488599347,921,462.49783782775376,0.7204172997480893
CGI_hadamard_low_size32_M102_seed48,CGI,Hadamard,low,10,32,48,102,1024,0.5049019607843137,0.2499759707804691,0.49997597020303797,0.9902436691380363,0.9901960784313726,8.823529411764707,102,52.98112535373074,1.0000000000000009
CGI_hadamard_low_size32_M204_seed48,CGI,Hadamard,low,20,32,48,204,1024,0.5024509803921569,0.24999399269511738,0.4999939926590292,0.9951099951437947,0.9950980392156863,6.5,204,103.990383726223,1.000000000000002
CGI_hadamard_low_size32_M307_seed48,CGI,Hadamard,low,30,32,48,307,1024,0.501628664495114,0.24999734745196212,0.4999973474449261,0.9967479588654955,0.996742671009772,5.45928338762215,307,155.4935688658538,1.0000000000000013
CGI_hadamard_low_size32_M409_seed48,CGI,Hadamard,low,40,32,48,409,1024,0.5012224938875306,0.24999850550869518,0.4999985055064617,0.9975579939109016,0.9975550122249389,4.88997555012225,409,206.49515727141574,1.000000000000003
CGI_hadamard_low_size32_M512_seed48,CGI,Hadamard,low,50,32,48,512,1024,0.5009765625,0.2499990463256836,0.4999990463247741,0.9980487786267966,0.998046875,4.47265625,512,257.9961239727733,1.0
CGI_hadamard_low_size32_M614_seed48,CGI,Hadamard,low,60,32,48,614,1024,0.500814332247557,0.24999933686299078,0.49999933686255105,0.9983726596194906,0.998371335504886,4.2052117263843645,614,308.9967637201235,0.9131682328565567
CGI_hadamard_low_size32_M716_seed48,CGI,Hadamard,low,70,32,48,716,1024,0.5006983240223464,0.2499995123435596,0.4999995123433218,0.9986043259054489,0.9986033519553073,4.058659217877095,716,359.99722220074716,0.8456262761307022
CGI_hadamard_low_size32_M819_seed48,CGI,Hadamard,low,80,32,48,819,1024,0.5006105006105006,0.24999962728900513,0.4999996272888662,0.9987797432896669,0.9987789987789988,3.873015873015873,819,411.4975698520268,0.7906659377718416
CGI_hadamard_low_size32_M921_seed48,CGI,Hadamard,low,90,32,48,921,1024,0.500542888165038,0.24999970527244023,0.4999997052723534,0.9989148124835521,0.998914223669924,3.795874049945711,921,462.4978378278047,0.7455987399391967
CGI_hadamard_high_size32_M102_seed48,CGI,Hadamard,high,10,32,48,102,1024,0.5,0.25,0.5,0.999999999998,1.0,2.784313725490196,102,10.148891565092217,
CGI_hadamard_high_size32_M204_seed48,CGI,Hadamard,high,20,32,48,204,1024,0.5,0.25,0.5,0.999999999998,1.0,2.980392156862745,204,14.317821063276433,
CGI_hadamard_high_size32_M307_seed48,CGI,Hadamard,high,30,32,48,307,1024,0.5,0.25,0.5,0.999999999998,1.0,2.8469055374592833,307,17.549928774784313,
CGI_hadamard_high_size32_M409_seed48,CGI,Hadamard,high,40,32,48,409,1024,0.5,0.25,0.5,0.999999999998,1.0,2.9290953545232274,409,20.248456731316598,
CGI_hadamard_high_size32_M512_seed48,CGI,Hadamard,high,50,32,48,512,1024,0.5,0.25,0.5,0.999999999998,1.0,2.9140625,512,22.649503305812626,
CGI_hadamard_high_size32_M614_seed48,CGI,Hadamard,high,60,32,48,614,1024,0.5,0.25,0.5,0.999999999998,1.0,2.8990228013029316,614,24.799193535275407,0.7635848932835281
CGI_hadamard_high_size32_M716_seed48,CGI,Hadamard,high,70,32,48,716,1024,0.5,0.25,0.5,0.999999999998,1.0,2.9385474860335195,716,26.776855677992877,0.7323338372368231
CGI_hadamard_high_size32_M819_seed48,CGI,Hadamard,high,80,32,48,819,1024,0.5,0.25,0.5,0.999999999998,1.0,2.995115995115995,819,28.63564212655431,0.7287904576320485
CGI_hadamard_high_size32_M921_seed48,CGI,Hadamard,high,90,32,48,921,1024,0.5,0.25,0.5,0.999999999998,1.0,3.1259500542888166,921,30.364452901379163,0.7166395217443344
